,,,,,,,,,,,,,
,SEGREDO DE JUSTIÇA,,,,,,,,,,,,
,Endereço das ERBs originadas/recebidas   Ref. 38703\2019 - TBRA - VIVO SP,,,,,,,,,,,,
,Linha:79996479713    Período:26/01/2019 00:00:00 a 26/03/2019 21:43:10    Data Solicitação:26/03/2019,,,,,,,,,,,,
,,,,,,,,,,,,,
CGI,CCC,Sigla,ERB,Sigla,Set,Azi,Tecnologia,Latitude,Longitude,UF,Cidade,Bairro,Endereço
724-11-00679-09083,7567,MWCAJUA,908,GEBT1,3,260,GSM,"-10-54-59,98","-37-03-16,70",SE,ARACAJU,CENTRO,"RUA ITAPORANGA, 179"
724-11-00279-09623,7567,MWCAJUA,962,GETE1,3,260,GSM,"-11-16-15,70","-37-26-31,90",SE,ESTÂNCIA,CENTRO,RUA MONSENHOR JOSÉ PAES SANTIAGO S/N
724-11-40179-33761,7567,MWCAJUA,3376,W1HL1,1,185,WCDMA,"-10-54-20,35","-37-03-03,16",SE,ARACAJU,CENTRO,"AVENIDA COELHO E CAMPOS, 166"
724-11-40279-34117,7567,MWCAJUA,3411,WAMS1,7,250,WCDMA,"-10-58-31,00","-37-03-43,00",SE,ARACAJU,Farolândia,"RUA MARIETA CABRAL DE ANDRADE, S/N. CONJUNTO MAR D"
724-11-40279-34662,7567,MWCAJUA,3466,WAIB1,2,90,WCDMA,"-10-57-15,80","-37-04-44,70",SE,ARACAJU,INÁCIO BARBOSA,"AVENIDA QUIRINO, 1100 VERDE VIDA CONDOMÍNIO CLUB"
724-11-40279-34665,7567,MWCAJUA,3466,WAIB1,5,10,WCDMA,"-10-57-15,80","-37-04-44,70",SE,ARACAJU,INÁCIO BARBOSA,"AVENIDA QUIRINO, 1100 VERDE VIDA CONDOMÍNIO CLUB"
724-11-40279-34666,7567,MWCAJUA,3466,WAIB1,6,90,WCDMA,"-10-57-15,80","-37-04-44,70",SE,ARACAJU,INÁCIO BARBOSA,"AVENIDA QUIRINO, 1100 VERDE VIDA CONDOMÍNIO CLUB"
724-11-40179-35131,7567,MWCAJUA,3513,WABM1,1,20,WCDMA,"-10-55-59,10","-37-02-57,70",SE,ARACAJU,TREZE DE JULHO,"AVENIDA BEIRA MAR, EDIFÍCIO PORTÃO DO MAR"
724-11-40179-35163,7567,MWCAJUA,3516,WARJ2,3,240,WCDMA,"-10-54-07,71","-37-04-31,48",SE,ARACAJU,DEZOITO DO FORTE,"RUA TENENTE AURÉLIO SAMPAIO, RESIDENCIAL ART VILLE"
724-11-40179-36787,7567,MWCAJUA,3678,WBDC1,7,300,WCDMA,"-10-54-36,85","-37-01-43,89",SE,BARRA DOS COQUEIROS,BARRA DOS COQUEIROS,"RUA N, 69 QUADRA A2 LOTE 61"
724-11-40179-37353,7567,MWCAJUA,3735,WAPE2,3,330,WCDMA,"-10-55-35,96","-37-04-40,78",SE,ARACAJU,SIQUEIRA CAMPOS,"RUA ACRE, N° 2504, BLOCO A"
724-11-40179-37357,7567,MWCAJUA,3735,WAPE2,7,330,WCDMA,"-10-55-35,96","-37-04-40,78",SE,ARACAJU,SIQUEIRA CAMPOS,"RUA ACRE, N° 2504, BLOCO A"
724-11-40179-37713,7567,MWCAJUA,3771,WGUV3,3,260,WCDMA,"-10-55-01,90","-37-04-00,70",SE,ARACAJU,CIRURGIA,"RUA PERMINIO DE SOUZA, 1010"
724-11-40179-37793,7567,MWCAJUA,3779,WPNB2,3,330,WCDMA,"-10-56-03,99","-37-04-15,37",SE,ARACAJU,PONTO NOVO,"RUA DOUTOR FRANCISCO MOREIRA, 1190 EDIFÍCIO BELLEV"
724-11-40179-37811,7567,MWCAJUA,3781,WJSC2,1,30,WCDMA,"-10-54-30,37","-37-05-23,79",SE,ARACAJU,JOSÉ CONRADO DE ARAÚJO,"AVENIDA CHANCELER OSVALDO ARANHA, 10"
724-11-40179-38092,7567,MWCAJUA,3809,WMEC1,2,160,WCDMA,"-10-56-34,46","-37-04-27,55",SE,ARACAJU,LUZIA,"RUA DEPUTADO MATOS TELES, 7 CASA 7"
724-11-40179-38912,7567,MWCAJUA,3891,WMRC2,2,170,WCDMA,"-10-54-17,30","-37-03-3,03",SE,ARACAJU,INDUSTRIAL,"AVENIDA ANTÔNIO CABRAL, 839"
724-11-40279-39001,7567,MWCAJUA,3900,WCRM1,1,180,WCDMA,"-10-58-01,88","-37-02-27,70",SE,ARACAJU,COROA DO MEIO,"RUA POETA JOSÉ SALES DE CAMPOS, 1681"
724-11-40179-39183,7567,MWCAJUA,3918,WSQC1,3,300,WCDMA,"-10-54-33,40","-37-04-24,76",SE,ARACAJU,SIQUEIRA CAMPOS,"RUA ACRE, 602"
724-11-40179-39571,7567,MWCAJUA,3957,WSJA1,1,170,WCDMA,"-10-55-16,36","-37-02-56,22",SE,ARACAJU,SÃO JOSÉ,"RUA RIACHUELO, 333 EDFÍCIO AMINTAS GARCEZ"
724-11-40179-49351,7567,MWCAJUA,4935,WJAB1,1,90,WCDMA,"-10-56-34,50","-37-05-04,00",SE,ARACAJU,JABOTIANA,"RUA ÁLVARO RODRIGUES, 6 CONJUNTO SOL NASCENTE"
724-11-40179-49503,7567,MWCAJUA,4950,WSDD1,3,260,WCDMA,"-10-54-08,50","-37-05-18,30",SE,ARACAJU,SANTOS DUMONT,"TRAVESSA IMPERATRIZ TEREZA CRISTINA, LOTE 56 QUADR"
724-11-00479-08071,7569,MWFAJUB,807,GTDG1,1,100,GSM,"-11-22-30,70","-37-50-18,70",SE,TOMAR DO GERU,Centro,PRAÇA PEDRO DE BALBINO - Nº S/N°
724-11-00479-08072,7569,MWFAJUB,807,GTDG1,2,260,GSM,"-11-22-30,70","-37-50-18,70",SE,TOMAR DO GERU,Centro,PRAÇA PEDRO DE BALBINO - Nº S/N°
724-11-00479-08073,7569,MWFAJUB,807,GTDG1,3,340,GSM,"-11-22-30,70","-37-50-18,70",SE,TOMAR DO GERU,Centro,PRAÇA PEDRO DE BALBINO - Nº S/N°
724-11-00479-08075,7569,MWFAJUB,807,GTDG1,5,100,GSM,"-11-22-30,70","-37-50-18,70",SE,TOMAR DO GERU,Centro,PRAÇA PEDRO DE BALBINO - Nº S/N°
724-11-00479-08076,7569,MWFAJUB,807,GTDG1,6,260,GSM,"-11-22-30,70","-37-50-18,70",SE,TOMAR DO GERU,Centro,PRAÇA PEDRO DE BALBINO - Nº S/N°
724-11-00479-08077,7569,MWFAJUB,807,GTDG1,7,340,GSM,"-11-22-30,70","-37-50-18,70",SE,TOMAR DO GERU,Centro,PRAÇA PEDRO DE BALBINO - Nº S/N°
724-11-00779-09603,7569,MWFAJUB,960,GRBR1,3,330,GSM,"-10-49-25,38","-37-25-52,03",SE,ITABAIANA,POVOADO DE RIBEIRA,"MORRO DO CEMITERIO DAS DORES, POVOADO DE RIBEIRA"
